
---------- Begin Simulation Statistics ----------
system.cpu.statFuBusy::SimdConfig                5689      5.38%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Add                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Cmp                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Cvt                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16DotProd              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Mult                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16MultAcc              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Bf16Cvt                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::System                       0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.issuedInstType_0::No_OpClass         10262      0.16%      0.16% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::IntAlu           4178948     63.54%     63.70% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::IntMult              643      0.01%     63.71% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::IntDiv                15      0.00%     63.71% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatAdd            6570      0.10%     63.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatCmp          464376      7.06%     70.87% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatCvt            3458      0.05%     70.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatMult           1434      0.02%     70.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatMultAcc         1434      0.02%     70.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatDiv             514      0.01%     70.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatMisc          58106      0.88%     71.86% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatSqrt           5121      0.08%     71.94% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdAdd                0      0.00%     71.94% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdAddAcc             0      0.00%     71.94% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdAlu             2320      0.04%     71.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdCmp                0      0.00%     71.97% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdCvt                0      0.00%     71.97% # Number of instructions issued per FU type, per thread (Count)
