
---------- Begin Simulation Statistics ----------
system.cpu.statFuBusy::SimdCrc                      0      0.00%     32.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     32.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     32.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     32.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     32.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     32.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                1252592     20.22%     53.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                886650     14.31%     67.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            553071      8.93%     76.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           441858      7.13%     83.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%     83.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad       542427      8.76%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore          131      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskStore            0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedLoad              0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedStore             0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedLoad         345269      5.57%     97.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedStore             0      0.00%     97.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterLoad         1381      0.02%     97.89% # attempts to use FU when none available (Count)
